User-Email,Booked,login,provider-booked,provider-schedule,provider-search,provider-select
1.2.8381@example.com,1,22,20,30,15,18
1.2.8263@example.com,1,16,15,37,14,17
1.2.9608@example.com,1,16,14,27,9,14
1.2.9555@example.com,1,9,13,21,6,13
1.2.6743@example.com,1,13,13,31,12,13
1.2.6243@example.com,1,15,13,28,12,15
1.2.6052@example.com,1,13,13,32,11,15
1.2.5819@example.com,1,13,13,30,7,13
1.2.5816@example.com,1,14,13,26,13,12
1.2.5676@example.com,1,13,13,30,8,16
1.2.504@example.com,1,12,13,29,9,9
1.2.5021@example.com,1,15,13,33,5,14
1.2.4256@example.com,1,14,13,30,10,13
1.2.4183@example.com,1,9,13,26,8,8
1.2.3718@example.com,1,14,13,25,5,14
1.2.2261@example.com,1,8,13,17,8,12
1.2.1641@example.com,1,11,13,29,12,16
1.2.843@example.com,1,10,12,24,5,10
1.2.7446@example.com,1,7,12,17,8,9
1.2.6615@example.com,1,15,12,25,12,13
1.2.6446@example.com,1,14,12,30,6,13
1.2.6160@example.com,1,7,12,27,8,10
1.2.5809@example.com,1,12,12,21,9,8
1.2.468@example.com,1,12,12,31,14,12
1.2.4544@example.com,1,10,12,28,10,12
1.2.4033@example.com,1,12,12,25,10,8
1.2.3897@example.com,1,9,12,19,2,8
1.2.3503@example.com,1,15,12,21,16,10
1.2.3489@example.com,1,11,12,23,6,12
1.2.3384@example.com,1,16,12,29,11,10
1.2.1646@example.com,1,14,12,31,9,12
1.2.1385@example.com,1,9,12,23,10,8
1.2.9808@example.com,1,13,11,20,7,13
1.2.9490@example.com,1,7,11,25,8,10
1.2.9429@example.com,1,8,11,19,5,9
1.2.937@example.com,1,12,11,26,7,10
1.2.9357@example.com,1,7,11,16,11,11
1.2.9094@example.com,1,8,11,22,9,9
1.2.8980@example.com,1,12,11,28,7,12
1.2.8592@example.com,1,10,11,22,8,11
1.2.8591@example.com,1,10,11,27,6,10
1.2.8446@example.com,1,9,11,23,6,10
1.2.8201@example.com,1,11,11,27,7,11
1.2.791@example.com,1,9,11,27,8,12
1.2.751@example.com,1,9,11,19,7,8
1.2.7399@example.com,1,10,11,27,7,11
1.2.6796@example.com,1,11,11,24,8,13
1.2.6494@example.com,1,12,11,18,6,12
1.2.6323@example.com,1,11,11,22,7,11
1.2.6058@example.com,1,10,11,22,4,12
1.2.5868@example.com,1,16,11,24,13,12
1.2.5663@example.com,1,16,11,30,16,14
1.2.5573@example.com,1,8,11,24,14,11
1.2.4672@example.com,1,8,11,22,8,11
1.2.4631@example.com,1,9,11,15,11,9
1.2.4577@example.com,1,9,11,14,6,8
1.2.4185@example.com,1,11,11,24,12,8
1.2.3917@example.com,1,16,11,29,9,17
1.2.3573@example.com,1,7,11,20,11,8
1.2.295@example.com,1,8,11,24,11,10
1.2.2722@example.com,1,6,11,20,8,8
1.2.2701@example.com,1,9,11,24,12,10
1.2.2579@example.com,1,23,11,33,8,14
1.2.2394@example.com,1,6,11,19,8,8
1.2.2069@example.com,1,5,11,11,10,7
1.2.1869@example.com,1,12,11,28,2,12
